20080316192539AAoRtNU	Politics & Government;Politics	Você usa o termo: "todo político é corrupto" generalizando,ou porque a maioria é corrupto?	Apesar de tudo,eu ainda fico com a segunda op??o.
20080321131838AAvuALx	Politics & Government;Other - Politics & Government	Secondo voi, Veltroni ...?	Secondo voi, Veltroni dove trova il coraggio per presentarsi nelle piazze, dopo che il governo, di cui il suo partito fa parte, ha fatto l'esatto contrario di quello che era nel programma iniziale, e come fa a dire che vuole dimezzare lo stipendio ai parlamentari, dopo che lui è stato il sindaco con lo stipendio più alto del paese ( 9.762,94 euro lordi)???
20080328135003AA1eBcZ	Politics & Government;Government	Yo, yo y yo, el "YOISMO " de la PresidentA K, le permite ver las necesidades de la gente? habló más de ella ..	que de los productores.   Se asegura que los problemas del hombre parten de una deficiente imagen de sí mismo.   La exaltación del “Yo”, el  “Yoísmo”….. ego-centrismo   Para ser Yoísmo, "autobombo 100%"  es necesario el armado minucioso de un círculo de seguidores (cuasi fans) que avalen.   Estas características son las que vemos en cada discurso de la presidentA.      Se repiten las misma palabras: "Argentina", "argentinos" y "todos" y, el pronombre de la 1ra persona del singular: “YO” , son las que más pronuncia.   El discurso de ayer en Parque Norte es una muestra más de lo dicho.   Como "Presidenta" se mencionó 18 veces, y el pronombre "Yo" lo usó en 21 oportunidades.    El campo y los productores no le llegaron ni a los talones, xque habló más de ella que de los productores.    Apenas aparecieron en su boca, respectivamente, 10 y 12 veces.    Habló más de ella que de los productores del campo.      Basta leer cualquiera de sus discursos para comprobar que es prototipo "autoreferencial":…      --
20080328133056AACti4n	Politics & Government;Government	Saben? me queda la sensaciòn, luego de preguntar y responder, en este foro, sobre politica y gobierno, que?	este gobierno, se està saliendo con las suyas: DIVIDIR a los argentinos...DIVIDE, DIVIDE Y REINARAS...Opinen. Gracias.
20080328112140AAdzrvB	Politics & Government;Government	Porque las penitas son nuestras y las vaquitas son ajenas?	porque cuando al campo argentino le v amal , el gobierno les da plata para que no kiebren o la sociedad en su conjuto paga las consecuencias de sus malos negocios o fallas en la produccion y ahora que ganan en dolares y pagan impuestos, salarios y costos en pesos ,se niegan .yo creo que a los medianos y peque?os productores hay que bajarles las retenciones , pero tambien creo que los que incitaron esto ,fueron los grandes terratenientes y muchos reclamos asociados a la politica de derechos humanos del gobierno K.yo igual el 1 de abril voy a las 16 a la plaza de mayo a apoyar a la presidente DE TODOS LOS ARGENTINOS ,aunque no la votè , no kiero otro golpe de estado ,BASTA DE CARTELES DE VIDELA VOLVè ?que tienen en la cabeza los que ponen esas pancartas?
20080328135439AAvMOKY	Politics & Government;Government	?Crees que es verdad lo que dijo Cristina F. de Kirchner?	Ayer durante su discurso menciono que el "El peronismo nunca planteó la lucha de clases"      Q opinas sobre ésto?      Saludos a todos!
20080329130126AA4ndPb	Politics & Government;Politics	Sapete quanto si spende ogni anno per garantire agli immigrati il vitalizio? 50miliardi di euro grazie Prodi?	N/A
20080405131950AASXoXh	Politics & Government;Law & Ethics	Il mondo in cui crediamo di vivere è in realtà una messa in scena costruita da chi muove immensi capitali?	i valori che abbiamo, le cose che ci sembrano logiche e scontate, il nostro ruolo nella società....quanto possiamo sceliere e quanto invece è prestabilito dalla cultura dominante? e a chi giova? chi decide cosa è sbagliato e cosa è giusto?   è così difficile aprire gli occhi?   viviamo in un matrrix?   tutte le ingiustizie sono inculcate come valori, modi di essere prese di parte per agevolare chi ci guadagna?   le guerre, la fame nel mondo , la povertà le leggi che non permettono al commercio del terzo mondo di vendere, e di scegliersi i governi, la nostra idee sul sesso, sulla diversità , sul ruolo della donna nella società, l' econmoia, le bolle speculative, i facili entusiasimi e le facili depressioni, il pil che non si interssa del benessere delle persone, la crescita economica a tutti i costi, lo sviluppo, l' indifferenza alla sostenibilità,all' ambiente, la chiusura alle altre culture, alla libera espressione e alla satira, i confliti di interesse, il calcio che addormenta le menti
20080512130145AAKZ7Mk	Politics & Government;Politics	Caso Travaglio - Schifani, mi fate capire?	Non ho visto la puntata di Fazio, ma ho visto l'intervento di Travaglio a posteriori sul sito TGcom ( http://www.tgcom.mediaset.it/politica/ar...  e a me e' sembrato che piu' che accusare in prima persona, citasse, a proposito delle presupposte frequentazioni mafiose di Schifani,  libro di Lirio Abbate e   Peter Gomez - I Complici.    Ma allora perche' Schifani non ha querelato direttamente Abbate? Forse querelare un giornalista antimafia sotto scorta per le minacce di morte non è esattamente un buon biglietto da visita? Fatemi capire, grazie
20080418170820AAF1vYT	Politics & Government;Law & Ethics	Com quantos anso uma pessoa pode morar sozinha?	N/A
20080617120334AAsBIc8	Politics & Government;Law Enforcement & Police	TOMAR CUIDADO  é  POUCO?	CUIDE-SE!   Saibam  o que a vagabundagem inventou agora. Lamentavelmente o crime organizado   evolui diariamente.    Estamos divulgando uma nova modalidade criminal: trata-se   do uso de um telefone celular aparentemente   normal, mas que, na verdade, trata-se de uma arma de fogo. Já foram apreendidas,   aqui em S?o Paulo,   duas dessas armas, sendo uma delas com calibre 38mm e outra com calibre 9mm privativo das for?as armadas.    Assim, solicito a todos que   tomem cuidado em semáforos, com pessoas que se aproximam apenas com telefone celular nas m?os.               Grato e um abra?o a todos.               Capit?o Francisco e Equipe
20080625111958AA6XWqT	Politics & Government;Government	Da oggi sono diventata ufficialmente antiberlusconiana...?	...stamattina ho dato le dimissioni e sono dovuta andare all'ufficio di collocamento per farmi fare una carta da consegnare al datore di lavoro..Siccome in passato non avevo dovuto farlo,ho chiesto all'impiegata dell'ufficio come mai era necessario.La ragazza mi ha risposto che è una legge entrata in vigore da qualche mese,motivazione il fatto che molti datori di lavoro,all'assunzione,facevano firmare un foglio con le dimissioni già pronte in caso di bisogno!   Le ho risposto che era ora che facessero qualcosa,visto che di queste storie ne ho già sentite,ma lei mi ha detto che il nuovo governo sta pensando di toglierla...   Ecco...quell'uomo ha perso anche quel poco di stima che provavo per lui!!!!
20080705131107AAU0Wc0	Politics & Government;Other - Politics & Government	Lula diz n?o ver o menssal?o, que n?o estava siente de nada que estava acontecendo. você acredita nisso ?	N/A
20080701120304AAaGoz3	Politics & Government;International Organizations	PORQUE a Liga das Na??es n?o conseguiu cumprir seus objetivos ???	Sim, mas PORQUE ??
20080525080744AAvgB0t	Politics & Government;Politics	Lula poderá servir de exemplo para candidatos americanos? Em que sentido?	Poderá mostrar como iludir o povo com promessas que tem certeza que n?o irá cumprir.Culpar o antecessor pelos erros e depois fazer pior.Ou usar a tática de se fazer de humilde e destacando a sua origem de pobre?
20080629045610AACoBgg	Politics & Government;Politics	Scontrarsi contro i magistrati è segno di immaturità da parte del premier?	N/A
20080607074425AAGbUnh	Politics & Government;Other - Politics & Government	Come vi schierate nei confronti del giornalista Marco Travaglio?	Indubbiamente quest'anno Marco Travaglio è stato uno dei personaggi che ha fatto più discutere, probabilmente dividendo un paese su due fronti opposti, che non necessariamente si rispecchiano su un unico dato "politico". Voi cosa  ne pensate di questo giornalista?
20080618133407AAo7H6W	Politics & Government;Other - Politics & Government	Berlusconi è diventato il vostro incubo?	N/A
20080620134606AAJKBhJ	Politics & Government;International Organizations	Parliamone...?	mi sto documentando sulle molte testimonianze e ricerche che provano il fatto che gli attentati dell'11 settembre potrebbero essere una montatura degli americani usati come già fatto in passato dall'america come scusa per far partire una guerra intenta in realtà solo all'arricchimento degli u.s.a..... Che ne pensate voi?
20080628123405AARWdnL	Politics & Government;Other - Politics & Government	La sinistra giustizialista e forcaiola lavora per mettere i bastoni tra le ruote di Berlusconi, rallentano le.	opere del governo ostruzionando le leggi che devono essere approvate, che cosa ci guadagniamo noi cittadini dal loro ostruzionismo che blocca la macchina delle riforme?
20080629044003AAVfmXG	Politics & Government;Government	Quanti elettori di destra sono delusi o pentiti della loro scelta? E quanti elettori di sinistra voterebbero?	destra se non ci fosse Berlusconi (e magari qualche altro)?
20080629061306AAn5NOD	Politics & Government;Other - Politics & Government	Ma c'è qualcuno che indagherà il "giocatore" Di Pietro?	Dei  prestiti per gioco d'azzardo che aveva chiesto non si parla più?      Nessuno dei suoi zelanti colleghi magistrati ha voglia di indagare anche su di lui?
20080630023848AAkG7Tx	Politics & Government;Other - Politics & Government	Ma Di Pietro difendendo con le mani e le unghie i magistrati cosa nasconde?	come mai perde le staffe secondo voi se qualcuno gli tocca gli giudici? sarà il segreto della mercedes regalata? la laurea forse non conseguita? perchè non critica i magistrati che hanno messo fuori gente con 35 omicidi? ( gargano)come mai i magistrati di Napoli non hanno trovato il tempo di arrestare qualcuno per la spazzatura e trovano il tempo d'indagare berlusca ?
20080630063205AAOHOEE	Politics & Government;Other - Politics & Government	Dopo Berlusca???	Tra un paio di anni forse si ritirerà, a quel punto cosa ci dovremmo aspettare dalla nostra classe politica???
20080701125554AANtwUe	Politics & Government;Law & Ethics	Adesso che glielo ha detto anche Napolitano ad i magistrati che non devono mettere il naso nelle leggi....?	..l avranno capita??
20080713083256AAEaOIo	Politics & Government;Other - Politics & Government	Secondo voi verrà attuato il Federalismo Fiscale....?	E se non venisse attuato, non sarebbe giusto far cadere il governo?
20080723170153AAXJitq	Politics & Government;Politics	Cual crees que sea la ideología política para lograr?	un desarrollo en toda latinoamerica, llevarnos hacia nuestra produccion mas óptima, disminuir la pobreza al límite, etc
