17327217.html	百度知道/地区/广东/广州市/	在广州公司食团年饭有好介绍吗	靠近沿江路,食海鲜粤菜,最好多品种及环境好的
311021123.html		我的电脑这种配置为什么鲁大师排行榜那么低，综合2297分，我去看了看排行榜4核CPU排行前后都是英特尔2核的	郁闷！还有显卡一G的没有128显存的排行高：下面是我的配置单大师们看下是不是我的机子出现问题了？ \r\n电脑型号 X64 兼容 台式电脑\r\n操作系统 Windows 7 旗舰版 64位 SP1 ( DirectX 11 )\r\n\r\n处理器 AMD Athlon(速龙) II X4 640 四核\r\n主板 华硕 M4A77T SI (ATI RX780/RX790(AMD 770/870) 芯片组)\r\n内存 4 GB ( 金士顿 DDR3 1333MHz )\r\n主硬盘 西数 WDC WD20EARS-00MVWB0 ( 2 TB / 5400-7200 转/分 )\r\n显卡 Nvidia GeForce GT 430 ( 1 GB / 耕升 )\r\n显示器 瀚视奇 HSD64E7 Hanns.G HL231 ( 23.1 英寸 )\r\n光驱 华硕 DVD-E818A7T DVD光驱\r\n声卡 威盛 VIA @ ATI IXP SB600/SB700/SB800 高保真音频\r\n网卡 瑞昱 RTL8168D(P)/8111D(P) PCI-E Gigabit Ethernet NIC / 华硕
169758294.html		为什么电脑开机后内存占用2GB	为什么我的电话开机后系统内存直线上涨，一直涨到2.35GB，期间电脑很慢，之后3分钟内内存资源慢慢下降，知道正常的336MB！
344063516.html	百度知道/电脑/网络/常见软件/聊天软件/	怎样拒收飞信小贴士?	老是发乱七八糟短信到我手机，烦死了，怎么取消啊~~！！！
173843244.html		高中毕业入学转户口，宁波的农村户口好还是北京的城镇户口好？	我是高中毕业生，今年考上了北京的大学。现在要转户口了，户口转不转任我选。我的现在户口是宁波的农村户口，要不要转入北京户口啊？农村户口和城镇户口各有哪些好处呢？请各位高手多多指教，越详细越好，小生在此多谢了。户口转不转与大学的好坏有关系吗？
17346338.html	百度知道/生活/美容/塑身/	在哪里可以买到完美芦荟胶啊？	最好不是网购哦~~~谢谢拉 最好在洛阳地区哪里有卖？
523560798.html	百度知道/教育/科学/外语学习/日语/	学习日语的问题？	我想学习日语，因为我喜欢日本明星滨崎步安室奈美惠和动漫，我学日语想达到几个目的，能看懂日语的报纸小说杂志等，听懂nhk新闻和日文歌词，能和日本人流利交流。要怎么做才能达到这些目的？我有教材新标准日本语和新编日语。
337202006.html	百度知道/社会民生/军事/	2011年去当兵回来给分配工作么？	2011年我刚高中毕业没有多长时间，我是黑龙江省绥芬河的，我爸爸是铁路职工，我如果今年去当兵，回来能不能分配个铁路工作呀？铁路也不透露风声，到现在也没信啊？谁知道今年当兵包不包分配？
172755104.html	百度知道/教育/科学/	关于美国阿拉斯加州的问题	美国阿拉斯加州有极昼极夜吗？从纬度多少开始？那如果有，那怎样度过漫长的黑夜？环境好吗？哪些地方适合居住？
179070177.html	百度知道/游戏/腾讯游戏/地下城与勇士/	为什么DNF刷完牛图就掉线,我没开G	为什么DNF刷完牛图就掉线,我没开G
34373949.html	百度知道/医疗健康/内科/心血管内科/	我15岁，低血压怎么办？	学校体检，医生说我的血压只有70/40，是不是太低了？给点建议吧，谢了
15730712.html	百度知道/烦恼/恋爱/	一个男同学喜欢上我了 怎么办	我也是男孩,有一个我的同学,一天我们一起走时,在没人的地方他说他喜欢我,我不知道该怎么办,我今年15岁,我在某些方面也还挺喜欢他的,可是真要说爱吧,我又有点害怕,不知道害怕什么.但反正不敢去问他是不是真的是GAY,或者真的喜欢我.我该怎么办?如果我要去问,应该怎么间接点的问他啊?谢谢!
92727634.html		华硕 f8va f8h64va-sl	华硕 f8va f8h64va-sl\r\n大家帮小弟描述一下这个机型的使用中的问题和优点吧 \r\n最近想出手，看中这款本本 \r\n谢谢大家，枪手死开 \r\n我希望使使用过这款本本的用户本人评价，不胜感谢\r\n\r\n还有宁波地区报价为多少？
33133544.html	百度知道/游戏/小游戏/	为什么FLASH小游戏加载到100%仍不出现画面	4399小游戏
163137584.html		面部色斑的成因_眼周长斑_额头长斑_脸颊长斑_颧骨长斑_鼻子长斑_嘴唇长斑怎么办	面部色斑的成因_眼周长斑_额头长斑_脸颊长斑_颧骨长斑_鼻子长斑_嘴唇长斑怎么办
91755834.html	百度知道/生活/起名/算命/	帮你给小孩起名	父亲：张永辉。1984 05 18\r\n母亲：惠婷婷。1986 05 25\r\n小孩本月出生，女孩\r\n谢谢大家。
162125625.html	百度知道/烦恼/两性问题/	面对非处的女友经常告诉你前男友的足迹该怎么办啊	女友非处在和我发生关系前告诉过我，但我原谅她啦觉得她善良；甚至想过和她结婚，但直到昨晚她又告诉我她的朋友见到她的前男友，我很伤心、难过不早点该哦怎么办，想过和她分手但又不想她因此而恨我；我该怎么办啊？？
